Date,Open,High,Low,Close,Volume
2010-10-04,111.8,113.4,111.5,112.9,3317
2010-10-05,113.0,114.9,113.0,114.7,5248
2010-10-06,115.4,116.9,115.15,115.15,407
2010-10-07,111.95,112.45,111.05,112.0,2422
2010-10-08,112.0,112.0,108.95,109.95,2266
2010-10-11,113.0,113.0,111.05,111.5,120
2010-10-12,110.55,111.55,110.0,111.55,2695
2010-10-13,112.8,113.2,111.45,111.45,803
2010-10-14,109.9,110.4,109.9,110.4,1614
2010-10-15,111.45,113.5,111.45,113.5,1940
2010-10-18,118.25,120.05,118.25,118.5,1068
2010-10-19,115.9,117.0,114.0,116.6,7171
2010-10-20,116.15,116.15,112.5,112.6,6026
2010-10-21,114.65,118.35,114.65,118.35,3553
2010-10-22,114.0,120.75,113.5,120.5,8373
2010-10-25,122.0,122.6,120.55,121.0,5262
2010-10-26,121.5,122.55,120.4,122.05,5475
2010-10-27,123.55,123.55,121.4,121.4,3440
2010-10-28,122.0,122.0,119.3,119.4,5780
2010-10-29,120.3,120.7,119.5,120.7,712
2010-11-01,119.8,119.8,117.0,117.2,704
2010-11-02,116.25,117.7,116.25,116.7,1231
2010-11-03,117.25,117.25,116.0,116.05,1691
2010-11-04,118.9,120.25,118.9,119.85,2506
2010-11-05,119.9,121.95,118.35,121.6,8806
2010-11-08,122.65,123.65,121.7,123.5,838
2010-11-09,124.5,124.5,122.95,123.95,348
2010-11-10,122.7,125.3,122.6,125.0,9866
2010-11-11,124.1,125.8,124.0,124.25,10560
2010-11-12,124.25,124.85,122.95,123.35,4203
2010-11-15,122.2,123.7,118.35,118.35,3865
2010-11-16,117.05,118.05,115.7,116.5,3238
2010-11-17,117.5,118.4,116.6,118.1,406
2010-11-18,118.1,120.7,117.4,120.65,4334
2010-11-19,120.0,120.3,119.65,120.0,1579
2010-11-22,121.25,124.2,120.0,123.8,4733
2010-11-23,124.1,125.25,123.3,123.3,10663
2010-11-24,125.5,132.5,125.25,132.25,8380
2010-11-26,133.1,135.0,132.35,133.9,2964
2010-11-29,134.95,138.75,134.2,137.35,6787
2010-11-30,137.8,138.3,135.15,135.65,5103
